Participant	Block	Trial	Stimulus	Condition	CorrectResp	Code_CorrResp	Response_Code	Response_Time
1	1	1	-->--	neutral	right	3	3	447
1	1	2	--<--	neutral	left	2	2	386
1	1	3	-->--	neutral	right	3	3	364
1	1	4	--<--	neutral	left	2	2	367
1	1	5	-->--	neutral	right	3	3	340
1	1	6	>>>>>	congruent	right	3	3	417
1	1	7	--<--	neutral	left	2	2	353
1	1	8	>><>>	incongruent	left	2	3	354
1	1	9	>><>>	incongruent	left	2	2	450
1	1	10	--<--	neutral	left	2	2	452
1	1	11	>>>>>	congruent	right	3	3	406
1	1	12	--<--	neutral	left	2	2	402
1	1	13	<<<<<	congruent	left	2	2	350
1	1	14	>><>>	incongruent	left	2	2	477
1	1	15	-->--	neutral	right	3	3	390
1	1	16	>>>>>	congruent	right	3	3	445
1	1	17	<<><<	incongruent	right	3	2	432
1	1	18	-->--	neutral	right	3	3	384
1	1	19	>><>>	incongruent	left	2	2	484
1	1	20	>><>>	incongruent	left	2	2	462
1	1	21	<<><<	incongruent	right	3	3	497
1	1	22	<<<<<	congruent	left	2	2	384
1	1	23	-->--	neutral	right	3	3	405
1	1	24	--<--	neutral	left	2	2	354
1	1	25	-->--	neutral	right	3	3	387
1	1	26	>>>>>	congruent	right	3	3	426
1	1	27	<<<<<	congruent	left	2	2	364
1	1	28	-->--	neutral	right	3	3	399
1	1	29	<<><<	incongruent	right	3	2	348
1	1	30	<<<<<	congruent	left	2	2	380
1	1	31	--<--	neutral	left	2	2	449
1	1	32	<<><<	incongruent	right	3	3	435
1	1	33	>>>>>	congruent	right	3	3	513
1	1	34	<<><<	incongruent	right	3	3	527
1	1	35	<<<<<	congruent	left	2	2	433
1	1	36	<<><<	incongruent	right	3	3	558
1	1	37	<<><<	incongruent	right	3	3	484
1	1	38	<<><<	incongruent	right	3	3	478
1	1	39	>><>>	incongruent	left	2	3	484
1	1	40	--<--	neutral	left	2	2	400
1	1	41	<<<<<	congruent	left	2	2	394
1	1	42	--<--	neutral	left	2	2	325
1	1	43	>><>>	incongruent	left	2	2	572
1	1	44	>>>>>	congruent	right	3	3	473
1	1	45	>>>>>	congruent	right	3	3	448
1	1	46	<<<<<	congruent	left	2	2	371
1	1	47	>>>>>	congruent	right	3	3	703
1	1	48	--<--	neutral	left	2	2	398
1	1	49	-->--	neutral	right	3	3	352
1	1	50	--<--	neutral	left	2	2	369
1	1	51	<<<<<	congruent	left	2	2	420
1	1	52	-->--	neutral	right	3	3	370
1	1	53	>>>>>	congruent	right	3	3	381
1	1	54	>>>>>	congruent	right	3	3	396
1	1	55	-->--	neutral	right	3	3	357
1	1	56	-->--	neutral	right	3	3	343
1	1	57	>><>>	incongruent	left	2	2	437
1	1	58	<<<<<	congruent	left	2	2	365
1	1	59	>><>>	incongruent	left	2	3	377
1	1	60	<<><<	incongruent	right	3	3	478
1	1	61	>>>>>	congruent	right	3	3	734
1	1	62	<<><<	incongruent	right	3	3	458
1	1	63	<<><<	incongruent	right	3	3	432
1	1	64	--<--	neutral	left	2	2	416
1	1	65	>><>>	incongruent	left	2	2	491
1	1	66	>><>>	incongruent	left	2	2	500
1	1	67	<<<<<	congruent	left	2	2	387
1	1	68	<<<<<	congruent	left	2	2	349
1	1	69	<<><<	incongruent	right	3	3	413
1	1	70	>><>>	incongruent	left	2	3	410
1	1	71	<<<<<	congruent	left	2	2	374
1	1	72	>>>>>	congruent	right	3	3	395
1	2	1	<<><<	incongruent	right	3	3	550
1	2	2	>><>>	incongruent	left	2	2	523
1	2	3	<<<<<	congruent	left	2	2	429
1	2	4	--<--	neutral	left	2	2	429
1	2	5	--<--	neutral	left	2	2	414
1	2	6	-->--	neutral	right	3	3	411
1	2	7	>><>>	incongruent	left	2	2	453
1	2	8	--<--	neutral	left	2	2	379
1	2	9	>>>>>	congruent	right	3	3	385
1	2	10	<<<<<	congruent	left	2	2	376
1	2	11	>>>>>	congruent	right	3	3	444
1	2	12	>><>>	incongruent	left	2	3	368
1	2	13	-->--	neutral	right	3	3	419
1	2	14	<<><<	incongruent	right	3	3	604
1	2	15	<<><<	incongruent	right	3	3	587
1	2	16	-->--	neutral	right	3	3	395
1	2	17	<<<<<	congruent	left	2	2	435
1	2	18	<<<<<	congruent	left	2	2	372
1	2	19	>><>>	incongruent	left	2	3	394
1	2	20	-->--	neutral	right	3	3	512
1	2	21	<<<<<	congruent	left	2	2	463
1	2	22	>>>>>	congruent	right	3	2	467
1	2	23	>><>>	incongruent	left	2	2	427
1	2	24	--<--	neutral	left	2	2	412
1	2	25	<<><<	incongruent	right	3	3	531
1	2	26	<<<<<	congruent	left	2	2	407
1	2	27	-->--	neutral	right	3	3	402
1	2	28	--<--	neutral	left	2	2	382
1	2	29	<<<<<	congruent	left	2	2	388
1	2	30	<<><<	incongruent	right	3	3	474
1	2	31	-->--	neutral	right	3	3	434
1	2	32	>><>>	incongruent	left	2	2	777
1	2	33	<<><<	incongruent	right	3	3	603
1	2	34	>><>>	incongruent	left	2	2	476
1	2	35	--<--	neutral	left	2	2	436
1	2	36	>><>>	incongruent	left	2	2	514
1	2	37	<<<<<	congruent	left	2	2	371
1	2	38	<<<<<	congruent	left	2	2	266
1	2	39	--<--	neutral	left	2	2	376
1	2	40	-->--	neutral	right	3	3	397
1	2	41	>><>>	incongruent	left	2	2	421
1	2	42	--<--	neutral	left	2	2	451
1	2	43	<<<<<	congruent	left	2	2	468
1	2	44	--<--	neutral	left	2	2	475
1	2	45	>>>>>	congruent	right	3	3	638
1	2	46	>>>>>	congruent	right	3	3	485
1	2	47	>>>>>	congruent	right	3	3	400
1	2	48	-->--	neutral	right	3	3	519
1	2	49	-->--	neutral	right	3	3	426
1	2	50	<<><<	incongruent	right	3	2	395
1	2	51	<<><<	incongruent	right	3	3	465
1	2	52	-->--	neutral	right	3	3	425
1	2	53	<<<<<	congruent	left	2	2	440
1	2	54	--<--	neutral	left	2	2	412
1	2	55	--<--	neutral	left	2	2	376
1	2	56	<<><<	incongruent	right	3	3	616
1	2	57	<<><<	incongruent	right	3	3	492
1	2	58	>>>>>	congruent	right	3	3	392
1	2	59	>><>>	incongruent	left	2	2	432
1	2	60	<<><<	incongruent	right	3	3	447
1	2	61	-->--	neutral	right	3	3	417
1	2	62	>><>>	incongruent	left	2	2	493
1	2	63	>>>>>	congruent	right	3	3	441
1	2	64	<<<<<	congruent	left	2	2	350
1	2	65	-->--	neutral	right	3	3	445
1	2	66	>>>>>	congruent	right	3	3	385
1	2	67	>><>>	incongruent	left	2	3	328
1	2	68	--<--	neutral	left	2	2	435
1	2	69	<<><<	incongruent	right	3	3	747
1	2	70	>>>>>	congruent	right	3	3	630
1	2	71	>>>>>	congruent	right	3	3	539
1	2	72	>>>>>	congruent	right	3	3	386
2	1	1	>><>>	incongruent	left	2	3	788
2	1	2	-->--	neutral	right	3	3	506
2	1	3	>>>>>	congruent	right	3	3	457
2	1	4	<<><<	incongruent	right	3	2	430
2	1	5	<<<<<	congruent	left	2	2	414
2	1	6	-->--	neutral	right	3	3	458
2	1	7	>><>>	incongruent	left	2	3	525
2	1	8	>>>>>	congruent	right	3	3	463
2	1	9	>>>>>	congruent	right	3	3	374
2	1	10	<<<<<	congruent	left	2	2	395
2	1	11	<<<<<	congruent	left	2	2	372
2	1	12	<<<<<	congruent	left	2	2	378
2	1	13	<<><<	incongruent	right	3	2	354
2	1	14	--<--	neutral	left	2	2	387
2	1	15	>><>>	incongruent	left	2	3	520
2	1	16	>>>>>	congruent	right	3	3	458
2	1	17	>>>>>	congruent	right	3	3	415
2	1	18	<<<<<	congruent	left	2	2	398
2	1	19	>>>>>	congruent	right	3	3	406
2	1	20	>><>>	incongruent	left	2	3	479
2	1	21	--<--	neutral	left	2	2	410
2	1	22	>>>>>	congruent	right	3	3	499
2	1	23	-->--	neutral	right	3	3	806
2	1	24	-->--	neutral	right	3	3	402
2	1	25	--<--	neutral	left	2	2	350
2	1	26	--<--	neutral	left	2	2	324
2	1	27	-->--	neutral	right	3	3	396
2	1	28	<<><<	incongruent	right	3	2	389
2	1	29	>><>>	incongruent	left	2	3	351
2	1	30	<<><<	incongruent	right	3	2	352
2	1	31	--<--	neutral	left	2	2	416
2	1	32	<<><<	incongruent	right	3	2	382
2	1	33	<<<<<	congruent	left	2	2	326
2	1	34	--<--	neutral	left	2	2	369
2	1	35	>><>>	incongruent	left	2	3	608
2	1	36	<<><<	incongruent	right	3	2	388
2	1	37	<<<<<	congruent	left	2	2	724
2	1	38	>>>>>	congruent	right	3	3	322
2	1	39	>>>>>	congruent	right	3	3	366
2	1	40	-->--	neutral	right	3	3	479
2	1	41	--<--	neutral	left	2	2	441
2	1	42	>><>>	incongruent	left	2	3	412
2	1	43	<<<<<	congruent	left	2	2	345
2	1	44	<<><<	incongruent	right	3	2	422
2	1	45	-->--	neutral	right	3	3	434
2	1	46	<<><<	incongruent	right	3	2	356
2	1	47	-->--	neutral	right	3	3	389
2	1	48	<<<<<	congruent	left	2	2	382
2	1	49	>>>>>	congruent	right	3	3	326
2	1	50	<<><<	incongruent	right	3	2	308
2	1	51	--<--	neutral	left	2	2	459
2	1	52	<<><<	incongruent	right	3	2	306
2	1	53	<<<<<	congruent	left	2	2	332
2	1	54	-->--	neutral	right	3	3	409
2	1	55	>><>>	incongruent	left	2	3	436
2	1	56	--<--	neutral	left	2	2	373
2	1	57	--<--	neutral	left	2	2	411
2	1	58	<<><<	incongruent	right	3	2	406
2	1	59	>>>>>	congruent	right	3	3	339
2	1	60	>><>>	incongruent	left	2	3	337
2	1	61	<<<<<	congruent	left	2	2	353
2	1	62	>><>>	incongruent	left	2	3	527
2	1	63	>>>>>	congruent	right	3	3	371
2	1	64	-->--	neutral	right	3	3	374
2	1	65	<<><<	incongruent	right	3	2	334
2	1	66	>><>>	incongruent	left	2	3	301
2	1	67	>><>>	incongruent	left	2	3	341
2	1	68	--<--	neutral	left	2	2	372
2	1	69	<<<<<	congruent	left	2	2	345
2	1	70	--<--	neutral	left	2	2	375
2	1	71	-->--	neutral	right	3	3	365
2	1	72	-->--	neutral	right	3	3	385
2	2	1	--<--	neutral	left	2	2	333
2	2	2	--<--	neutral	left	2	2	395
2	2	3	>>>>>	congruent	right	3	3	338
2	2	4	<<><<	incongruent	right	3	2	372
2	2	5	-->--	neutral	right	3	3	328
2	2	6	>>>>>	congruent	right	3	3	326
2	2	7	>>>>>	congruent	right	3	3	354
2	2	8	<<><<	incongruent	right	3	2	402
2	2	9	--<--	neutral	left	2	2	335
2	2	10	<<<<<	congruent	left	2	2	412
2	2	11	>><>>	incongruent	left	2	3	394
2	2	12	>>>>>	congruent	right	3	3	340
2	2	13	-->--	neutral	right	3	3	371
2	2	14	>>>>>	congruent	right	3	3	374
2	2	15	<<><<	incongruent	right	3	2	350
2	2	16	>><>>	incongruent	left	2	3	398
2	2	17	<<><<	incongruent	right	3	2	407
2	2	18	<<<<<	congruent	left	2	2	371
2	2	19	<<><<	incongruent	right	3	2	374
2	2	20	-->--	neutral	right	3	3	365
2	2	21	<<><<	incongruent	right	3	2	401
2	2	22	-->--	neutral	right	3	3	364
2	2	23	<<<<<	congruent	left	2	2	352
2	2	24	>><>>	incongruent	left	2	3	385
2	2	25	<<<<<	congruent	left	2	2	375
2	2	26	<<><<	incongruent	right	3	2	382
2	2	27	--<--	neutral	left	2	2	341
2	2	28	<<><<	incongruent	right	3	2	450
2	2	29	--<--	neutral	left	2	2	405
2	2	30	<<<<<	congruent	left	2	2	385
2	2	31	>><>>	incongruent	left	2	3	500
2	2	32	-->--	neutral	right	3	3	496
2	2	33	--<--	neutral	left	2	2	319
2	2	34	<<<<<	congruent	left	2	2	426
2	2	35	<<><<	incongruent	right	3	2	379
2	2	36	>><>>	incongruent	left	2	3	385
2	2	37	>><>>	incongruent	left	2	3	501
2	2	38	--<--	neutral	left	2	2	340
2	2	39	<<<<<	congruent	left	2	2	402
2	2	40	>><>>	incongruent	left	2	3	397
2	2	41	<<<<<	congruent	left	2	2	389
2	2	42	>>>>>	congruent	right	3	3	352
2	2	43	--<--	neutral	left	2	2	385
2	2	44	<<<<<	congruent	left	2	2	422
2	2	45	>><>>	incongruent	left	2	3	419
2	2	46	>>>>>	congruent	right	3	3	386
2	2	47	--<--	neutral	left	2	2	394
2	2	48	--<--	neutral	left	2	2	496
2	2	49	-->--	neutral	right	3	3	335
2	2	50	<<<<<	congruent	left	2	2	710
2	2	51	-->--	neutral	right	3	3	321
2	2	52	--<--	neutral	left	2	2	302
2	2	53	>>>>>	congruent	right	3	3	372
2	2	54	-->--	neutral	right	3	3	331
2	2	55	-->--	neutral	right	3	3	735
2	2	56	>><>>	incongruent	left	2	3	600
2	2	57	-->--	neutral	right	3	3	348
2	2	58	<<><<	incongruent	right	3	2	303
2	2	59	<<><<	incongruent	right	3	2	390
2	2	60	>><>>	incongruent	left	2	3	414
2	2	61	<<<<<	congruent	left	2	2	504
2	2	62	>><>>	incongruent	left	2	3	422
2	2	63	-->--	neutral	right	3	3	420
2	2	64	>>>>>	congruent	right	3	3	418
2	2	65	-->--	neutral	right	3	3	383
2	2	66	>><>>	incongruent	left	2	3	702
2	2	67	>>>>>	congruent	right	3	3	373
2	2	68	>>>>>	congruent	right	3	3	363
2	2	69	>>>>>	congruent	right	3	3	367
2	2	70	--<--	neutral	left	2	2	356
2	2	71	<<<<<	congruent	left	2	2	404
2	2	72	<<><<	incongruent	right	3	2	321
3	1	1	-->--	neutral	right	3	3	421
3	1	2	<<><<	incongruent	right	3	3	496
3	1	3	>><>>	incongruent	left	2	2	444
3	1	4	>><>>	incongruent	left	2	2	478
3	1	5	<<<<<	congruent	left	2	2	406
3	1	6	>><>>	incongruent	left	2	2	480
3	1	7	--<--	neutral	left	2	2	395
3	1	8	--<--	neutral	left	2	2	373
3	1	9	<<><<	incongruent	right	3	3	394
3	1	10	>>>>>	congruent	right	3	3	314
3	1	11	--<--	neutral	left	2	2	350
3	1	12	<<><<	incongruent	right	3	3	383
3	1	13	<<><<	incongruent	right	3	3	421
3	1	14	-->--	neutral	right	3	3	356
3	1	15	>><>>	incongruent	left	2	3	373
3	1	16	>>>>>	congruent	right	3	3	380
3	1	17	<<><<	incongruent	right	3	3	495
3	1	18	>><>>	incongruent	left	2	2	490
3	1	19	-->--	neutral	right	3	3	374
3	1	20	>><>>	incongruent	left	2	2	444
3	1	21	>>>>>	congruent	right	3	3	351
3	1	22	-->--	neutral	right	3	3	400
3	1	23	>><>>	incongruent	left	2	2	426
3	1	24	--<--	neutral	left	2	2	395
3	1	25	<<<<<	congruent	left	2	2	356
3	1	26	--<--	neutral	left	2	2	405
3	1	27	<<<<<	congruent	left	2	2	306
3	1	28	<<<<<	congruent	left	2	2	317
3	1	29	-->--	neutral	right	3	3	327
3	1	30	-->--	neutral	right	3	3	293
3	1	31	<<<<<	congruent	left	2	2	332
3	1	32	<<><<	incongruent	right	3	3	535
3	1	33	--<--	neutral	left	2	2	412
3	1	34	--<--	neutral	left	2	2	393
3	1	35	--<--	neutral	left	2	2	356
3	1	36	>>>>>	congruent	right	3	3	358
3	1	37	<<<<<	congruent	left	2	2	375
3	1	38	<<<<<	congruent	left	2	2	349
3	1	39	>>>>>	congruent	right	3	3	304
3	1	40	<<><<	incongruent	right	3	3	390
3	1	41	>>>>>	congruent	right	3	3	336
3	1	42	<<<<<	congruent	left	2	2	320
3	1	43	--<--	neutral	left	2	2	364
3	1	44	>><>>	incongruent	left	2	3	321
3	1	45	--<--	neutral	left	2	2	318
3	1	46	<<><<	incongruent	right	3	3	406
3	1	47	>>>>>	congruent	right	3	3	324
3	1	48	<<><<	incongruent	right	3	2	273
3	1	49	>><>>	incongruent	left	2	2	448
3	1	50	<<<<<	congruent	left	2	2	357
3	1	51	<<><<	incongruent	right	3	3	390
3	1	52	>><>>	incongruent	left	2	2	429
3	1	53	-->--	neutral	right	3	3	367
3	1	54	-->--	neutral	right	3	3	371
3	1	55	<<><<	incongruent	right	3	3	408
3	1	56	>><>>	incongruent	left	2	2	464
3	1	57	-->--	neutral	right	3	3	343
3	1	58	-->--	neutral	right	3	3	373
3	1	59	-->--	neutral	right	3	3	380
3	1	60	<<<<<	congruent	left	2	2	323
3	1	61	-->--	neutral	right	3	3	383
3	1	62	<<><<	incongruent	right	3	3	483
3	1	63	>>>>>	congruent	right	3	3	398
3	1	64	>>>>>	congruent	right	3	3	391
3	1	65	--<--	neutral	left	2	2	368
3	1	66	<<<<<	congruent	left	2	2	326
3	1	67	<<<<<	congruent	left	2	2	323
3	1	68	>>>>>	congruent	right	3	3	366
3	1	69	--<--	neutral	left	2	2	417
