eval_corrans,eval_pic,flanker_type,trials.thisN,flanker_resp.keys,flanker_resp.corr,flanker_resp.rt,eval_resp.keys,eval_resp.corr,eval_resp.rt,flanker_stimulus,participant,years,date,sex,block,pic_valence,flanker_acc
g,pictures/1463.jpg,congr,0,None,0,,g,1,0.600038032746,VVVVV,1,24,2017_03_20_1739,f,1,positive,Error
b,pictures/9610.jpg,congr,1,num_1,1,0.566840132466,b,1,0.750083748717,PPPPP,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/8540.jpg,noncongr,2,num_2,1,0.766801871825,g,1,0.700143492082,PPMPP,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/2457.jpg,noncongr,3,None,0,,b,1,1.00014027022,RRVRR,1,24,2017_03_20_1739,f,1,negative,Error
b,pictures/2692.jpg,congr,4,num_3,1,0.733492211439,b,1,0.733501334675,XXXXX,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/2398.jpg,congr,5,num_1,1,0.583523473004,b,0,0.850149864098,RRRRR,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/9901.jpg,noncongr,6,None,0,,b,1,0.916808243841,MMWMM,1,24,2017_03_20_1739,f,1,negative,Error
b,pictures/2053.jpg,congr,7,num_2,1,0.800154867582,b,1,0.866894501727,VVVVV,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/1340.jpg,congr,8,num_1,1,0.500036065467,g,1,0.983489716891,PPPPP,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/6244.jpg,congr,9,num_1,1,0.733476530761,b,1,0.933467635652,PPPPP,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/4640.jpg,congr,10,None,0,,g,1,0.883492026012,XXXXX,1,24,2017_03_20_1739,f,1,positive,Error
g,pictures/8116.jpg,congr,11,num_3,1,0.716819419758,b,0,1.71679005423,XXXXX,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/1660.jpg,congr,12,None,0,,g,1,0.849859059555,VVVVV,1,24,2017_03_20_1739,f,1,positive,Error
g,pictures/8130.jpg,congr,13,num_3,1,0.766824109713,g,1,1.16679890687,XXXXX,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/6241.jpg,congr,14,None,0,,g,0,1.43366392865,VVVVV,1,24,2017_03_20_1739,f,1,negative,Error
g,pictures/7289.jpg,congr,15,num_1,1,0.650169593282,g,1,0.983634263743,PPPPP,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/8250.jpg,noncongr,16,num_3,1,0.733481377596,g,1,1.13339259662,PPWPP,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/8540.jpg,congr,17,num_1,1,0.733477100963,g,1,0.6834915129,PPPPP,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/5628.jpg,congr,18,num_3,1,0.633486252744,g,1,0.733488790225,XXXXX,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/9429.jpg,congr,19,num_3,1,0.700180555228,b,1,1.01679624082,XXXXX,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/2900.jpg,noncongr,20,num_3,1,0.750174981542,b,1,0.766822113888,MMWMM,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/9301.jpg,congr,21,num_1,1,0.566813903162,b,1,0.733475105371,RRRRR,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/5628.jpg,noncongr,22,num_1,1,0.600153784268,g,1,0.916804252192,XXPXX,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/8503.jpg,congr,23,num_1,1,0.550188438268,b,0,1.10014565894,PPPPP,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/8033.jpg,congr,24,num_1,0,0.816851322772,g,1,1.18331717281,VVVVV,1,24,2017_03_20_1739,f,1,positive,Error
b,pictures/6836.jpg,noncongr,25,None,0,,b,1,1.26678291243,MMWMM,1,24,2017_03_20_1739,f,1,negative,Error
g,pictures/2056.jpg,noncongr,26,num_1,1,0.616855371278,g,1,0.683480108855,WWPWW,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/9471.jpg,noncongr,27,num_1,1,0.666812163778,b,1,0.633490814362,MMPMM,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/2344.jpg,congr,28,num_3,1,0.683496074751,b,0,0.833449987695,WWWWW,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/2710.jpg,congr,29,num_1,1,0.533358840505,b,1,1.01679510041,PPPPP,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/4520.jpg,noncongr,30,num_3,1,0.650149350986,g,1,0.883487464394,RRXRR,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/2276.jpg,noncongr,31,None,0,,g,0,1.41696604807,PPMPP,1,24,2017_03_20_1739,f,1,negative,Error
b,pictures/9342.jpg,congr,32,num_3,1,0.683550528949,b,1,1.41681180755,WWWWW,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/1999.jpg,noncongr,33,num_1,1,0.600182009395,g,1,0.883488605032,VVRVV,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/4007.jpg,congr,34,num_1,1,0.600168609526,g,1,0.766606576741,RRRRR,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/5199.jpg,congr,35,num_2,1,0.783504314022,g,1,0.850152715109,MMMMM,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/2352.jpg,noncongr,36,num_3,1,0.616846818244,g,1,0.650153057184,MMXMM,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/9427.jpg,noncongr,37,num_3,1,0.750189521816,b,1,0.833454264328,PPWPP,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/5890.jpg,congr,38,num_1,1,0.683494078694,g,1,0.700148338918,RRRRR,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/4542.jpg,noncongr,39,num_1,1,0.66684666113,g,1,0.650107441004,WWPWW,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/3017.jpg,congr,40,num_2,1,0.750162152108,b,1,0.833461106755,MMMMM,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/7501.jpg,congr,41,num_3,1,0.766805863008,b,0,0.933484456735,XXXXX,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/1271.jpg,noncongr,42,num_2,1,0.666822712868,b,1,0.816820816835,RRMRR,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/4650.jpg,noncongr,43,num_3,1,0.716831964441,g,1,0.700158317341,VVWVV,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/8001.jpg,noncongr,44,num_2,1,0.700157747138,g,1,1.05014923704,RRVRR,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/2362.jpg,congr,45,num_1,1,0.550166485598,g,1,0.800124361645,RRRRR,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/7352.jpg,congr,46,num_1,1,0.583512353944,g,1,0.716785492608,RRRRR,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/9041.jpg,noncongr,47,num_1,1,0.750143620418,g,0,0.93348246091,MMRMM,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/1590.jpg,congr,48,None,0,,g,1,0.883454677649,VVVVV,1,24,2017_03_20_1739,f,1,positive,Error
g,pictures/7230.jpg,congr,49,num_1,1,0.650181282545,g,1,0.616828856524,RRRRR,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/9290.jpg,congr,50,num_2,1,0.766875713365,b,1,0.633484827355,VVVVV,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/3220.jpg,noncongr,51,num_3,1,0.600168324541,b,1,0.683447607094,PPXPP,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/9435.jpg,congr,52,num_2,1,0.666981514776,b,1,0.700162878959,MMMMM,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/3216.jpg,noncongr,53,num_2,1,0.566817324143,b,1,0.666822142666,WWMWW,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/2700.jpg,congr,54,num_3,1,0.600188566605,g,0,0.916803112021,WWWWW,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/5814.jpg,congr,55,num_3,1,0.683476687642,g,1,0.750151888235,XXXXX,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/9330.jpg,congr,56,num_2,1,0.800123506458,b,1,1.06679180753,VVVVV,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/9001.jpg,congr,57,num_3,1,0.550170477014,b,1,0.916778878309,WWWWW,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/6555.jpg,noncongr,58,num_3,1,0.783523986116,b,1,1.25012437603,VVXVV,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/4612.jpg,congr,59,num_1,1,0.600207953714,g,1,0.683492938289,PPPPP,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/2303.jpg,noncongr,60,num_3,1,0.666820717044,g,1,0.700154611142,VVWVV,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/4610.jpg,noncongr,61,num_2,1,0.600169464946,g,1,0.566843553679,RRMRR,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/3160.jpg,noncongr,62,num_2,1,0.583591612522,b,1,1.40012789704,XXVXX,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/7359.jpg,noncongr,63,num_2,1,0.716828542994,b,1,1.19994121185,PPVPP,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/9621.jpg,congr,64,None,0,,b,1,0.750139058568,XXXXX,1,24,2017_03_20_1739,f,1,negative,Error
g,pictures/8510.jpg,congr,65,num_1,1,0.650146784959,b,0,1.3334652409,PPPPP,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/2605.jpg,congr,66,num_2,1,0.516840859549,b,0,0.983481163625,MMMMM,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/7451.jpg,noncongr,67,num_1,1,0.650145074353,g,1,1.05011188844,WWPWW,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/1220.jpg,congr,68,num_2,1,0.683473266428,b,1,0.666808172595,MMMMM,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/9530.jpg,congr,69,num_3,1,0.700132943224,b,1,0.916800545994,XXXXX,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/4628.jpg,noncongr,70,num_3,1,0.650163891027,g,1,1.15013238718,RRXRR,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/8118.jpg,noncongr,71,num_3,1,0.783455561381,b,0,0.900138303172,RRWRR,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/9326.jpg,congr,72,num_2,1,0.63349395059,b,1,0.783446723362,MMMMM,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/6213.jpg,congr,73,num_3,1,0.716803168878,b,1,1.10012114001,XXXXX,1,24,2017_03_20_1739,f,1,negative,Correct
b,pictures/9500.jpg,noncongr,74,num_2,1,0.633662731154,b,1,2.03344251798,XXMXX,1,24,2017_03_20_1739,f,1,negative,Correct
g,pictures/4641.jpg,noncongr,75,None,0,,g,1,0.800138331717,PPWPP,1,24,2017_03_20_1739,f,1,positive,Error
g,pictures/7492.jpg,noncongr,76,num_2,1,0.500065146014,g,1,1.51680493657,XXVXX,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/7508.jpg,noncongr,77,num_3,1,0.816835927079,g,1,1.23342735064,MMWMM,1,24,2017_03_20_1739,f,1,positive,Correct
g,pictures/7508.jpg,congr,78,num_3,1,0.650346071459,g,1,0.733684940729,WWWWW,1,24,2017_03_20_1739,f,1,positive,Correct
b,pictures/9417.jpg,congr,79,num_2,0,0.53346632421,b,1,1.48299919791,RRRRR,1,24,2017_03_20_1739,f,1,negative,Error
g,pictures/5450.jpg,congr,80,num_1,1,0.550262565026,b,0,1.83342204755,PPPPP,1,24,2017_03_20_1739,f,1,positive,Correct
